wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
kujawsko-pomorskie,aleksandrowski,t0401,2021-03-23 00:00:00,8.54,655,49,2,47,62,50,114,118,3,1,2
podlaskie,augustowski,t2001,2021-03-23 00:00:00,3.97,315,6,0,23,27,24,51,63,0,0,0
warmińsko-mazurskie,bartoszycki,t2801,2021-03-23 00:00:00,6.68,605,14,1,38,95,39,135,99,1,1,0
śląskie,będziński,t2401,2021-03-23 00:00:00,9.54,2326,79,4,141,175,144,323,471,1,0,1
łódzkie,bełchatowski,t1001,2021-03-23 00:00:00,3.02,647,27,0,34,108,36,144,136,2,0,2
lubelskie,Biała Podlaska,t0661,2021-03-23 00:00:00,4.55,344,14,0,26,79,27,106,86,0,0,0
mazowieckie,białobrzeski,t1401,2021-03-23 00:00:00,2.4,439,18,1,8,29,12,42,32,0,0,0
zachodniopomorskie,białogardzki,t3201,2021-03-23 00:00:00,1.9,217,15,2,9,58,9,69,51,0,0,0
podlaskie,białostocki,t2002,2021-03-23 00:00:00,3.39,950,33,4,51,141,51,196,230,0,0,0
lubelskie,bialski,t0601,2021-03-23 00:00:00,2.99,761,19,1,33,126,35,162,109,0,0,0
podlaskie,Białystok,t2061,2021-03-23 00:00:00,2.76,1775,88,0,82,359,84,443,509,0,0,0
podlaskie,bielski,t2003,2021-03-23 00:00:00,1.11,323,16,0,6,36,7,43,45,0,0,0
śląskie,bielski,t2402,2021-03-23 00:00:00,5.35,3612,186,4,89,168,98,270,547,0,0,0
śląskie,Bielsko-Biała,t2461,2021-03-23 00:00:00,4.99,2978,162,5,85,177,96,278,507,3,0,3
śląskie,bieruńsko-lędziński,t2414,2021-03-23 00:00:00,6.51,613,33,3,39,61,44,108,129,0,0,0
podkarpackie,bieszczadzki,t1801,2021-03-23 00:00:00,11.12,301,7,0,24,43,24,67,56,2,0,2
lubelskie,biłgorajski,t0602,2021-03-23 00:00:00,4.07,839,34,6,41,98,42,146,159,3,0,3
małopolskie,bocheński,t1201,2021-03-23 00:00:00,5.33,1327,34,3,57,122,59,184,189,1,0,1
dolnośląskie,bolesławiecki,t0201,2021-03-23 00:00:00,4.89,529,17,3,44,103,51,157,122,0,0,0
warmińsko-mazurskie,braniewski,t2802,2021-03-23 00:00:00,2.93,506,40,2,12,62,12,76,82,2,0,2
kujawsko-pomorskie,brodnicki,t0402,2021-03-23 00:00:00,2.78,731,36,1,22,53,24,78,156,0,0,0
małopolskie,brzeski,t1202,2021-03-23 00:00:00,7.95,1082,25,1,74,116,74,191,96,1,1,0
opolskie,brzeski,t1601,2021-03-23 00:00:00,2.57,561,32,0,23,54,35,89,111,0,0,0
łódzkie,brzeziński,t1021,2021-03-23 00:00:00,2.6,350,12,1,8,42,10,53,56,0,0,0
podkarpackie,brzozowski,t1802,2021-03-23 00:00:00,1.98,705,9,2,13,129,15,146,79,1,1,0
świętokrzyskie,buski,t2601,2021-03-23 00:00:00,6.58,717,10,19,47,148,56,223,136,0,0,0
kujawsko-pomorskie,bydgoski,t0403,2021-03-23 00:00:00,4.77,1559,83,6,57,177,90,273,316,1,0,1
kujawsko-pomorskie,Bydgoszcz,t0461,2021-03-23 00:00:00,5.28,3388,232,23,183,611,323,957,720,9,0,9
śląskie,Bytom,t2462,2021-03-23 00:00:00,1.82,1700,106,1,30,141,33,175,292,0,0,0
pomorskie,bytowski,t2201,2021-03-23 00:00:00,1.01,629,23,0,8,49,9,58,110,0,0,0
Cały kraj,Cały kraj,t0000,2021-03-23 00:00:00,4.36,392575,18599,1484,16741,50796,20149,72429,66491,396,82,314
lubelskie,Chełm,t0662,2021-03-23 00:00:00,3.9,432,21,0,24,67,26,93,88,0,0,0
kujawsko-pomorskie,chełmiński,t0404,2021-03-23 00:00:00,2.12,513,13,2,11,117,38,157,93,1,0,1
lubelskie,chełmski,t0603,2021-03-23 00:00:00,1.16,444,12,1,9,72,10,83,84,0,0,0
