NAZWA,teryt,teryt_num,OW_NUM,OW,lon,lat
aleksandrowski,401,0401,02,2,18.732302,52.79797
augustowski,2001,2001,10,10,23.10912,53.814282
bartoszycki,2801,2801,14,14,20.75584,54.247639
będziński,2401,2401,12,12,19.156878,50.40724
bełchatowski,1001,1001,05,5,19.247623,51.360077
białobrzeski,1401,1401,07,7,20.953861,51.621156
białogardzki,3201,3201,16,16,16.059759,53.975867
białostocki,2002,2002,10,10,23.336697,53.099041
bialski,601,0601,03,3,23.309721,51.924135
bielski,2003,2003,10,10,23.056941,52.747938
bielski,2402,2402,12,12,18.958218,49.874672
bieruńsko-lędziński,2414,2414,12,12,19.141647,50.097623
bieszczadzki,1801,1801,09,9,22.624451,49.318478
biłgorajski,602,0602,03,3,22.787064,50.510208
bocheński,1201,1201,06,6,20.434629,49.948216
bolesławiecki,201,0201,01,1,15.536819,51.33688
braniewski,2802,2802,14,14,19.973187,54.299582
brodnicki,402,0402,02,2,19.427864,53.261691
brzeski,1202,1202,06,6,20.650184,49.984447
brzeski,1601,1601,08,8,17.478038,50.791638
brzeziński,1021,1021,05,5,19.814095,51.835666
brzozowski,1802,1802,09,9,22.07344,49.718402
buski,2601,2601,13,13,20.857113,50.437018
bydgoski,403,0403,02,2,18.014295,53.261857
bytowski,2201,2201,11,11,17.322932,54.141169
chełmiński,404,0404,02,2,18.517144,53.30114
chełmski,603,0603,03,3,23.603215,51.078582
chodzieski,3001,3001,15,15,16.991612,52.965035
chojnicki,2202,2202,11,11,17.686501,53.809781
choszczeński,3202,3202,16,16,15.581615,53.138074
chrzanowski,1203,1203,06,6,19.442641,50.113884
ciechanowski,1402,1402,07,7,20.606652,52.858201
cieszyński,2403,2403,12,12,18.802408,49.739595
czarnkowsko-trzcianecki,3002,3002,15,15,16.36765,52.912191
częstochowski,2404,2404,12,12,19.357789,50.807436
człuchowski,2203,2203,11,11,17.16914,53.728998
dąbrowski,1204,1204,06,6,21.007131,50.231984
dębicki,1803,1803,09,9,21.352512,50.011776
drawski,3203,3203,16,16,15.992685,53.472971
działdowski,2803,2803,14,14,20.022717,53.270211
dzierżoniowski,202,0202,01,1,16.701405,50.737029
elbląski,2804,2804,14,14,19.577748,54.126687
ełcki,2805,2805,14,14,22.400395,53.822082
garwoliński,1403,1403,07,7,21.647998,51.825772
gdański,2204,2204,11,11,18.599771,54.222772
giżycki,2806,2806,14,14,21.844066,53.998873
gliwicki,2405,2405,12,12,18.498985,50.358515
głogowski,203,0203,01,1,16.077393,51.676055
głubczycki,1602,1602,08,8,17.859667,50.135773
gnieźnieński,3003,3003,15,15,17.597677,52.538353
gołdapski,2818,2818,14,14,22.325549,54.275763
goleniowski,3204,3204,16,16,14.884073,53.633645
golubsko-dobrzyński,405,0405,02,2,19.030577,53.102794
gorlicki,1205,1205,06,6,21.174907,49.599447
górowski,204,0204,01,1,16.553816,51.631232
gorzowski,801,0801,04,4,15.016942,52.732782
gostyniński,1404,1404,07,7,19.572086,52.3778
gostyński,3004,3004,15,15,17.062308,51.829935
grajewski,2004,2004,10,10,22.480949,53.557802
grodziski,1405,1405,07,7,20.594446,52.082783
grodziski,3005,3005,15,15,16.359505,52.177974
grójecki,1406,1406,07,7,20.851416,51.78832
grudziądzki,406,0406,02,2,18.956926,53.477351
gryficki,3205,3205,16,16,15.2272,53.954562
gryfiński,3206,3206,16,16,14.499762,53.021421
hajnowski,2005,2005,10,10,23.583113,52.747496
hrubieszowski,604,0604,03,3,23.876862,50.739336
iławski,2807,2807,14,14,19.547403,53.65488
inowrocławski,407,0407,02,2,18.299285,52.794483
janowski,605,0605,03,3,22.431233,50.726598
jarociński,3006,3006,15,15,17.515931,51.991216
jarosławski,1804,1804,09,9,22.763611,50.006068
jasielski,1805,1805,09,9,21.465493,49.65161
jaworski,205,0205,01,1,16.154395,51.019223
jędrzejowski,2602,2602,13,13,20.224055,50.641623
jeleniogórski,206,0206,01,1,15.743342,50.818163
kaliski,3007,3007,15,15,18.217651,51.796205
kamiennogórski,207,0207,01,1,16.00082,50.754606
kamieński,3207,3207,16,16,14.754024,53.898565
kartuski,2205,2205,11,11,18.076904,54.312494
kazimierski,2603,2603,13,13,20.521704,50.276722
kędzierzyńsko-kozielski,1603,1603,08,8,18.158742,50.286554
kępiński,3008,3008,15,15,17.963564,51.239617
kętrzyński,2808,2808,14,14,21.314194,54.146074
kielecki,2604,2604,13,13,20.807205,50.781949
kłobucki,2406,2406,12,12,18.861423,50.935828
kłodzki,208,0208,01,1,16.613265,50.372921
kluczborski,1604,1604,08,8,18.169793,50.998371
kolbuszowski,1806,1806,09,9,21.796378,50.297306
kolneński,2006,2006,10,10,21.972157,53.40047
kołobrzeski,3208,3208,16,16,15.602415,54.070255
kolski,3009,3009,15,15,18.766159,52.237896
konecki,2605,2605,13,13,20.33806,51.13684
