"";"teryt";"powiaty";"Ludność..Population";"ludnosc.na.1km2"
"1";"0201";"   bolesławiecki";90103;69
"2";"0202";"   dzierżoniowski";100813;211
"3";"0203";"   głogowski";89102;201
"4";"0204";"   górowski";34870;47
"5";"0205";"   jaworski";50116;86
"6";"0206";"   jeleniogórski";63591;101
"7";"0207";"   kamiennogórski";43239;109
"8";"0208";"   kłodzki";157996;96
"9";"0209";"   legnicki";55166;74
"10";"0210";"   lubański";54254;127
"11";"0211";"   lubiński";106150;149
"12";"0212";"   lwówecki";45925;65
"13";"0213";"   milicki";36999;52
"14";"0214";"   oleśnicki";107269;102
"15";"0215";"   oławski";76752;146
"16";"0216";"   polkowicki";63065;81
"17";"0217";"   strzeliński";43570;70
"18";"0218";"   średzki";55079;78
"19";"0219";"   świdnicki";156921;212
"20";"0220";"   trzebnicki";85253;83
"21";"0221";"   wałbrzyski";55611;129
"22";"0222";"   wołowski";46818;69
"23";"0223";"   wrocławski";151385;135
"24";"0224";"   ząbkowicki";64802;81
"25";"0225";"   zgorzelecki";89188;106
"26";"0226";"   złotoryjski";43490;76
"27";"0261";"   Jelenia Góra";79061;724
"28";"0262";"   Legnica";99350;1765
"29";"0265";"   Wałbrzych";111356;1315
"30";"0264";"   Wrocław";642869;2195
"31";"0401";"   aleksandrowski";55066;116
"32";"0402";"   brodnicki";79097;76
"33";"0403";"   bydgoski";118683;85
"34";"0404";"   chełmiński";51925;99
"35";"0405";"   golubsko-dobrzyński";45018;73
"36";"0406";"   grudziądzki";40238;55
"37";"0407";"   inowrocławski";159814;130
"38";"0408";"   lipnowski";65750;65
"39";"0409";"   mogileński";45619;68
"40";"0410";"   nakielski";86311;77
"41";"0411";"   radziejowski";40321;66
"42";"0412";"   rypiński";43486;74
"43";"0413";"   sępoleński";41056;52
"44";"0414";"   świecki";98952;67
"45";"0415";"   toruński";108345;88
"46";"0416";"   tucholski";48383;45
"47";"0417";"   wąbrzeski";34194;68
"48";"0418";"   włocławski";86037;58
"49";"0419";"   żniński";70190;71
"50";"0461";"   Bydgoszcz";348190;1979
"51";"0462";"   Grudziądz";94368;1634
"52";"0463";"   Toruń";201447;1741
"53";"0464";"   Włocławek";109883;1303
"54";"0601";"   bialski";110772;40
"55";"0602";"   biłgorajski";100919;60
"56";"0603";"   chełmski";78014;41
"57";"0604";"   hrubieszowski";62847;50
"58";"0605";"   janowski";45709;52
"59";"0606";"   krasnostawski";63258;61
"60";"0607";"   kraśnicki";95348;95
"61";"0608";"   lubartowski";88352;69
"62";"0609";"   lubelski";155566;93
"63";"0610";"   łęczyński";57331;90
"64";"0611";"   łukowski";106816;77
"65";"0612";"   opolski";59208;73
"66";"0613";"   parczewski";34711;36
"67";"0614";"   puławski";113173;121
"68";"0615";"   radzyński";58858;61
"69";"0616";"   rycki";55988;91
"70";"0617";"   świdnicki";71840;153
"71";"0618";"   tomaszowski";82762;56
"72";"0619";"   włodawski";38353;31
"73";"0620";"   zamojski";106122;57
"74";"0661";"   Biała Podlaska";57170;1157
"75";"0662";"   Chełm";61932;1755
